type,lat_dms,lat_d,lat_m,lat_s,lat_dd,long_dms,long_d,long_m,long_s,long_dd,label,location,notes,live
Year-round,43 07.250,43,7,250,43.18611111,W124 28.400,124,28,400,-124.5777778,C 6-27,Shoreward Bandon to Brookings,,11/1/19
Year-round,43 01.400,43,1,400,43.12777778,W124 40.000,124,40,0,-124.6666667,C 6-28,,,11/1/19
Year-round,42 50.000,42,50,0,42.83333333,W124 42.500,124,42,500,-124.8388889,C 7-2,,,11/1/19
Year-round,42 47.650,42,47,650,42.96388889,W124 42.400,124,42,400,-124.8111111,C 7-4,,,11/1/19
Year-round,42 42.200,42,42,200,42.75555556,W124 35.500,124,35,500,-124.7222222,C 7-6,,,11/1/19
Year-round,42 03.600,42,3,600,42.21666667,W124 27.500,124,27,500,-124.5888889,C 8-1,,,11/1/19
Year-round,42 02.100,42,2,100,42.06111111,W124 18.500,124,18,500,-124.4388889,C 8-2,,,11/1/19
Year-round,42 00.000,42,0,0,42,W124 19.800,124,19,800,-124.5388889,C 8-4,Triangle off Brookings,,11/1/19
Year-round,42 01.700,42,1,700,42.21111111,W124 27.000,124,27,0,-124.45,C 8-5,,,11/1/19
Year-round,41 52.650,41,52,650,42.04722222,W124 25.000,124,25,0,-124.4166667,C 8-6,,,11/1/19
Year-round,42 00.000,42,0,0,42,W124 19.800,124,19,800,-124.5388889,C 8-4,,,11/1/19
Year-round,42 00.600,42,0,600,42.16666667,W124 16.600,124,16,600,-124.4333333,C 8-3,Shoreward Brookings to CC,,11/1/19
Year-round,41 50.100,41,50,100,41.86111111,W124 24.000,124,24,0,-124.4,C 8-8,,,11/1/19
Year-round,41 41.250,41,41,250,41.75277778,W124 15.900,124,15,900,-124.5,C 8-9,,,11/1/19
Year-round,41 43.600,41,43,600,41.88333333,W124 13.100,124,13,100,-124.2444444,C 8-10,,,11/1/19
Year-round,41 42.500,41,42,500,41.83888889,W124 11.100,124,11,100,-124.2111111,C 8-11,Shoreward CC to Eureka,,11/1/19
Year-round,41 39.200,41,39,200,41.70555556,W124 14.750,124,14,750,-124.4416667,C 8-13,,,11/1/19
Year-round,41 03.000,41,3,0,41.05,W124 18.450,124,18,450,-124.425,C 9-2,,,11/1/19
Year-round,40 53.550,40,53,550,41.03611111,W124 23.450,124,23,450,-124.5083333,C 9-4,,,11/1/19
Year-round,40 48.850,40,48,850,41.03611111,W124 21.500,124,21,500,-124.4888889,9-8a,,,11/1/19
Year-round,40 46.600,40,46,600,40.93333333,W124 15.500,124,15,500,-124.3888889,9-8b,,,11/1/19
Year-round,40 51.450,40,51,450,40.975,W124 24.600,124,24,600,-124.5666667,C 9-5,Triangle off Eureka,,11/1/19
Year-round,40 47.550,40,47,550,40.93611111,W124 26.600,124,26,600,-124.6,C 9-6,,,11/1/19
Year-round,40 48.800,40,48,800,41.02222222,W124 23.550,124,23,550,-124.5361111,C 9-7,,,11/1/19
Year-round,40 51.450,40,51,450,40.975,W124 24.600,124,24,600,-124.5666667,C 9-5,,,11/1/19
Year-round,40 45.200,40,45,200,40.80555556,W124 16.250,124,16,250,-124.3361111,9-9b,Inshore Eureka to San Fran,,11/1/19
Year-round,40 47.450,40,47,450,40.90833333,W124 22.550,124,22,550,-124.5194444,9-9a,,,11/1/19
Year-round,40 45.680,40,45,680,40.93888889,W124 27.250,124,27,250,-124.5194444,C 9-11,,,11/1/19
Year-round,40 28.100,40,28,100,40.49444444,W124 35.100,124,35,100,-124.6111111,C 9-13,,,11/1/19
Year-round,40 13.700,40,13,700,40.41111111,W124 24.350,124,24,350,-124.4972222,C 9-17,,,11/1/19
Year-round,39 42.500,39,42,500,39.83888889,W123 52.550,123,52,550,-124.0194444,C 10-1,,,11/1/19
Year-round,39 20.000,39,20,0,39.33333333,W123 52.600,123,52,600,-124.0333333,C 10-4,,,11/1/19
Year-round,38 52.500,38,52,500,39.00555556,W123 47.750,123,47,750,-123.9916667,10-6a,,,11/1/19
Year-round,38 10.200,38,10,200,38.22222222,W123 20.320,123,20,320,-123.4222222,11-2a,,,11/1/19
Year-round,43 18.600,43,18,600,43.46666667,W124 35.674,124,35,674,-124.7705556,CCM ,Offshore Coos Bay to SF  (line color changes here to year-round south of here),,11/1/19
Year-round,43 08.500,43,8,500,43.27222222,W124 40.750,124,40,750,-124.875,C 6-23,,,11/1/19
Year-round,42 49.950,42,49,950,43.08055556,W124 45.350,124,45,350,-124.8472222,C 7-1,,,11/1/19
Year-round,42 46.750,42,46,750,42.975,W124 45.200,124,45,200,-124.8055556,C 7-3,,,11/1/19
Year-round,42 41.100,42,41,100,42.71111111,W124 38.100,124,38,100,-124.6611111,C 7-5,,,11/1/19
Year-round,41 49.500,41,49,500,41.95555556,W124 27.150,124,27,150,-124.4916667,C 8-7,,,11/1/19
Year-round,41 39.200,41,39,200,41.70555556,W124 17.200,124,17,200,-124.3388889,C 8-12,,,11/1/19
Year-round,41 03.000,41,3,0,41.05,W124 21.050,124,21,50,-124.3638889,C 9-1,,,11/1/19
Year-round,40 28.100,40,28,100,40.49444444,W124 37.900,124,37,900,-124.8666667,C 9-12,,,11/1/19
Year-round,40 12.400,40,12,400,40.31111111,W124 26.450,124,26,450,-124.5583333,C 9-16,,,11/1/19
Year-round,39 41.900,39,41,900,39.93333333,W123 55.200,123,55,200,-123.9722222,C 10-2,,,11/1/19
Year-round,39 20.000,39,20,0,39.33333333,W123 55.150,123,55,150,-123.9583333,C 10-3,,,11/1/19
Year-round,38 51.500,38,51,500,38.98888889,W123 50.500,123,50,500,-123.9722222,10-5a,,,11/1/19
Year-round,38 07.000,38,7,0,38.11666667,W123 21.900,123,21,900,-123.6,11-1a,,,11/1/19
Advisory,48 23.400,48,23,400,48.49444444,W124 48.750,124,48,750,-125.0083333,1 5,Cape Flattery,,11/1/19
Advisory,48 13.400,48,13,400,48.32777778,W124 57.900,124,57,900,-125.2,1 2,,,11/1/19
Advisory,47 14.150,47,14,150,47.275,W124 52.300,124,52,300,-124.95,2S-B,North Grays Harbor inside,,11/1/19
Advisory,47 03.000,47,3,0,47.05,W124 48.200,124,48,200,-124.8555556,2S-C,,,11/1/19
Advisory,46 59.400,46,59,400,47.09444444,W124 38.000,124,38,0,-124.6333333,2 18,,,11/1/19
Advisory,47 13.400,47,13,400,47.32777778,W124 53.500,124,53,500,-125.0222222,2S-A,North Grays Harbor outside,,11/1/19
Advisory,46 38.300,46,38,300,46.71666667,W124 42.250,124,42,250,-124.7694444,2S-E,,,11/1/19
Advisory,46 58.100,46,58,100,46.99444444,W124 37.450,124,37,450,-124.7416667,2 14 ,South Grays Harbor inside,,11/1/19
Advisory,47 01.500,47,1,500,47.15555556,W124 47.500,124,47,500,-124.9222222,2S-D,,,11/1/19
Advisory,46 37.750,46,37,750,46.825,W124 40.000,124,40,0,-124.6666667,2S-F,,,11/1/19
Advisory,46 42.800,46,42,800,46.92222222,W124 31.600,124,31,600,-124.6833333,2 11 ,,,11/1/19
Advisory,46 41.600,46,41,600,46.85,W124 31.100,124,31,100,-124.5444444,2 10,Willapa Bay,,11/1/19
Advisory,46 36.600,46,36,600,46.76666667,W124 38.800,124,38,800,-124.8555556,3S-A,,,11/1/19
Advisory,46 29.250,46,29,250,46.55277778,W124 31.000,124,31,0,-124.5166667,3S-B,,,11/1/19
Advisory,46 32.000,46,32,0,46.53333333,W124 27.500,124,27,500,-124.5888889,3 27,,,11/1/19
Advisory,46 30.500,46,30,500,46.63888889,W124 27.000,124,27,0,-124.45,3 10,South Willapa Bay,,11/1/19
Advisory,46 26.900,46,26,900,46.68333333,W124 31.900,124,31,900,-124.7666667,3S-C,,,11/1/19
Advisory,46 26.000,46,26,0,46.43333333,W124 32.400,124,32,400,-124.6444444,3S-D,,,11/1/19
Advisory,46 17.500,46,17,500,46.42222222,W124 22.000,124,22,0,-124.3666667,3 9,,,11/1/19
Advisory,46 24.500,46,24,500,46.53888889,W124 33.100,124,33,100,-124.5777778,3S-E,Quad offshore south Willapa Bay,,11/1/19
Advisory,46 20.000,46,20,0,46.33333333,W124 36.400,124,36,400,-124.7111111,3S-F,,,11/1/19
Advisory,46 15.750,46,15,750,46.45833333,W124 35.500,124,35,500,-124.7222222,3S-G,,,11/1/19
Advisory,46 17.750,46,17,750,46.49166667,W124 24.500,124,24,500,-124.5388889,3S-H,,,11/1/19
Advisory,46 24.500,46,24,500,46.53888889,W124 33.100,124,33,100,-124.5777778,3S-E,,,11/1/19
Advisory,46 13.750,46,13,750,46.425,W124 24.400,124,24,400,-124.5111111,3 20,Off Columbia River,,11/1/19
Advisory,46 12.700,46,12,700,46.39444444,W124 34.750,124,34,750,-124.775,3S-J,,,11/1/19
Advisory,45 58.280,45,58,280,46.04444444,W124 31.500,124,31,500,-124.6555556,3S-L,,,11/1/19
Advisory,46 05.960,46,5,960,46.35,W124 21.250,124,21,250,-124.4194444,3-17A,,,11/1/19
Advisory,46 11.800,46,11,800,46.40555556,W124 36.600,124,36,600,-124.7666667,3S-I,Farthest off Colulmbia River,,11/1/19
Advisory,45 56.900,45,56,900,46.18333333,W124 33.500,124,33,500,-124.6888889,3S-K,,,11/1/19
Advisory,46 04.100,46,4,100,46.09444444,W124 20.500,124,20,500,-124.4722222,3S-N,Quad off Tillamook Head,,11/1/19
Advisory,45 56.600,45,56,600,46.1,W124 31.000,124,31,0,-124.5166667,3S-M,,,11/1/19
Advisory,45 43.900,45,43,900,45.96666667,W124 31.500,124,31,500,-124.6555556,4S-A,,,11/1/19
Advisory,45 39.250,45,39,250,45.71944444,W124 14.100,124,14,100,-124.2611111,4S-B,,,11/1/19
Advisory,46 04.100,46,4,100,46.09444444,W124 20.500,124,20,500,-124.4722222,3S-N,,,11/1/19
Advisory,45 42.250,45,42,250,45.76944444,W124 29.750,124,29,750,-124.6916667,4S-C,Quad off Tillamook Bay,,11/1/19
Advisory,45 26.500,45,26,500,45.57222222,W124 23.100,124,23,100,-124.4111111,4S-E,,,11/1/19
Advisory,45 29.500,45,29,500,45.62222222,W124 14.100,124,14,100,-124.2611111,4S-F,,,11/1/19
Advisory,45 38.100,45,38,100,45.66111111,W124 14.000,124,14,0,-124.2333333,4S-D,,,11/1/19
Advisory,45 42.250,45,42,250,45.76944444,W124 29.750,124,29,750,-124.6916667,4S-C,,,11/1/19
Summer,46 49.20,46,49,20,46.82222222,W124 18.75,124,18,75,-124.3208333,c 2-6,GH Inshore at GH entrance,,11/1/19
Summer,46 38.50,46,38,50,46.64722222,W124 16.90,124,16,90,-124.2916667,c 2-23,Willapa Inshore at Willapa entrance,,11/1/19
Summer,46 48.35,46,48,35,46.80972222,W124 20.20,124,20,20,-124.3388889,c 2-7,GH offshore at GH south entrance channel,,11/1/19
Summer,46 37.60,46,37,60,46.63333333,W124 18.20,124,18,20,-124.3055556,c 3-24,Willapa ofshore at Willapa entrance channel,,11/1/19
Summer,46 37.60,46,37,60,46.63333333,W124 16.60,124,16,60,-124.2833333,c 3-14,N point of Willipa to CR inshore line,,11/1/19
Summer,46 13.000,46,13,0,46.21666667,W124 12.00,124,12,0,-124.2,c 3-4,S point of Willipa to CR inshore line,,11/1/19
Summer,46 36.50,46,36,50,46.61388889,W124 18.05,124,18,5,-124.3013889,c 3-13,N point of Willipa to CR offshore line,,11/1/19
Summer,46 13.50,46,13,50,46.23055556,W124 13.400,124,13,400,-124.3277778,c 3-5,S point of Willipar to CR offshore line,,11/1/19
Summer,46 12.50,46,12,50,46.21388889,W124 08.06,124,8,6,-124.135,c  3-2,NE point of CR to Tillamook inshore line,,11/1/19
Summer,46 09.40,46,9,40,46.16111111,W124 09.50,124,9,50,-124.1638889,c 3-15,dogleg turn on inshore line CR to Tillamook,,11/1/19
Summer,45 36.35,45,36,35,45.60972222,W124 03.20,124,3,20,-124.0555556, c 4-6,S point of CR to Tillamook inshore line,,11/1/19
Summer,46 11.30,46,11,30,46.19166667,W124 11.10,124,11,10,-124.1861111,c 3-3,N point of CR to Tillamook offshore line,,11/1/19
Summer,45 36.75,45,36,75,45.62083333,W124 05.25,124,5,25,-124.0902778,c 4-7,S point of CR to Tillamook offshore line,,11/1/19
Summer,45 32.20,45,32,20,45.53888889,W124 02.30,124,2,30,-124.0416667,4 15,N point of Tillamook to YB inshore line,,11/1/19
Summer,45 03.60,45,3,60,45.06666667,W124 04.50,124,4,50,-124.0805556,4 16,"Cascade Hd turn point, inshore line",,11/1/19
Summer,44 44.176,44,44,176,44.78222222,W124 11.508,124,11,508,-124.3244444,N4,"Otter Rock sm turn, inshore line",,11/1/19
Summer,44 40.273,44,40,273,44.7425,W124 13.595,124,13,595,-124.3819444,N6,S point of Tillamook to YB inshore line ,,11/1/19
Summer,45 31.25,45,31,25,45.52361111,W124 05.20,124,5,20,-124.0888889,4 14 ,N point of Tillamook to YB offshore line,,11/1/19
Summer,45 03.60,45,3,60,45.06666667,W124 07.40,124,7,40,-124.1277778,4 17,"Cascade Hd turn point, offshore line",,11/1/19
Summer,44 44.48,44,44,48,44.74666667,W124 14.191,124,14,191,-124.2863889,N3,"Otter rock sm turn, offshore line",,11/1/19
Summer,44 41.466,44,41,466,44.81277778,W124 15.922,124,15,922,-124.5061111,N5,S point of Tillamook to YB offshore line,,11/1/19
Summer,44 38.226,44,38,226,44.69611111,W124 14.377,124,14,377,-124.3380556,N8,"N point of inshore line, YB triangle",,11/1/19
Summer,44 30.908,44,30,908,44.75222222,W124 15.262,124,15,262,-124.3227778,N14,"S point of inshore line, YB triangle",,11/1/19
Summer,44 39.474,44,39,474,44.78166667,W124 16.809,124,16,809,-124.4913889,N7,"N point of offshore line, YB triangle",,11/1/19
Summer,44 37.643,44,37,643,44.79527778,W124 17.243,124,17,243,-124.3508333,N9,"sm turn on offshore line, YB triangle",,11/1/19
Summer,44 28.286,44,28,286,44.54611111,W124 18.367,124,18,367,-124.4019444,N15,"S point of offshore line, YB triangle",,11/1/19
Summer,44 27.776,44,27,776,44.66555556,W124 15.322,124,15,322,-124.3394444,N16, N point of YB to Siuslaw inshore line,,11/1/19
Summer,44 25.826,44,25,826,44.64611111,W124 15.255,124,15,255,-124.3208333,N19,sm turn on YB to Siuslaw inshore line,,11/1/19
Summer,44 07.15,44,7,15,44.12083333,W124 17.50,124,17,50,-124.2972222,5 13,corner to Siuslaw N entrance channel,,11/1/19
Summer,44 01.75,44,1,75,44.0375,W124 10.35,124,10,35,-124.1763889,5 17,S point at Siuslaw N channel entrance,,11/1/19
Summer,44 04.50,44,4,50,44.08055556,W124 17.90,124,17,90,-124.3083333,5 14,Siuslaw triangle N point,,11/1/19
Summer,43 57.65,43,57,65,43.96805556,W124 18.50,124,18,50,-124.3138889,5 15,Siuslaw triangle S point,,11/1/19
Summer,44 01.10,44,1,10,44.01944444,W124 13.250,124,13,250,-124.2861111,5 16,Siuslaw triangle E point,,11/1/19
Summer,44 04.50,44,4,50,44.08055556,W124 17.90,124,17,90,-124.3083333,5 14,Siuslaw triangle N point,,11/1/19
